Entry	Entry name	Protein names	Gene names  (primary )	Status
A0A7U8X3K9	A0A7U8X3K9_ECOLX	Multidrug resistance protein MdtL	mdtL	unreviewed
A0A7U8X4M3	A0A7U8X4M3_ECOLX	Multiple antibiotic resistance protein marA		unreviewed
A0A7U8X8K4	A0A7U8X8K4_ECOLX	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	unreviewed
A0A7U9A0Z0	A0A7U9A0Z0_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
A0A7U8X8I7	A0A7U8X8I7_ECOLX	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	unreviewed
A0A7U8ZZN7	A0A7U8ZZN7_ECOLX	Multidrug resistance protein MdtH	mdtH	unreviewed
A0A7U8X4U0	A0A7U8X4U0_ECOLX	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)		unreviewed
A0A7U8ZZ49	A0A7U8ZZ49_ECOLX	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	unreviewed
A0A7U8X8I8	A0A7U8X8I8_ECOLX	Macrolide transporter ATP-binding/permease		unreviewed
A0A7U8X3M5	A0A7U8X3M5_ECOLX	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	unreviewed
A0A7U8X641	A0A7U8X641_ECOLX	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	unreviewed
A0A7U8X4U8	A0A7U8X4U8_ECOLX	Multiple antibiotic resistance protein marR		unreviewed
A0A7U8X8X4	A0A7U8X8X4_ECOLX	Multidrug resistance protein MdtG	mdtG	unreviewed
