Entry	Entry name	Protein names	Gene names  (primary )	Status
A0A5E8GAD9	A0A5E8GAD9_ECOLX	Multidrug resistance protein MdtH	mdtH	unreviewed
A0A5E8FMY5	A0A5E8FMY5_ECOLX	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	unreviewed
A0A5E8G980	A0A5E8G980_ECOLX	Multidrug resistance protein MdtG	mdtG	unreviewed
A0A5E8GDM4	A0A5E8GDM4_ECOLX	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	unreviewed
A0A5E8G728	A0A5E8G728_ECOLX	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	unreviewed
A0A5E8FDK8	A0A5E8FDK8_ECOLX	Macrolide transporter ATP-binding /permease protein	macB	unreviewed
A0A5E8GFJ7	A0A5E8GFJ7_ECOLX	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	unreviewed
A0A5E8FL98	A0A5E8FL98_ECOLX	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	unreviewed
A0A5E8G435	A0A5E8G435_ECOLX	Beta-lactamase (EC 3.5.2.6)	ampC	unreviewed
A0A5E8GB13	A0A5E8GB13_ECOLX	Multiple antibiotic resistance protein	marB	unreviewed
A0A5E8G926	A0A5E8G926_ECOLX	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)	mrcA	unreviewed
A0A5E8FJ51	A0A5E8FJ51_ECOLX	Multiple antibiotic resistance	marA	unreviewed
A0A5E8FLX0	A0A5E8FLX0_ECOLX	Multiple antibiotic resistance protein marR	marR	unreviewed
A0A5E8FGJ9	A0A5E8FGJ9_ECOLX	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	ybhT	unreviewed
A0A5E8FHG7	A0A5E8FHG7_ECOLX	Multidrug resistance protein MdtL	mdtL	unreviewed
