Entry	Entry name	Protein names	Gene names  (primary )	Status
W1F5G4	W1F5G4_ECOLX	Hexose phosphate transport protein UhpT		unreviewed
W1F5X5	W1F5X5_ECOLX	Dihydrofolate reductase (EC 1.5.1.3)		unreviewed
W1EVP4	W1EVP4_ECOLX	Melibiose operon regulatory protein		unreviewed
W1EYW8	W1EYW8_ECOLX	COG1649 predicted glycoside hydrolase		unreviewed
W1F3T8	W1F3T8_ECOLX	D,D-heptose 1,7-bisphosphate phosphatase (EC 3.1.3.-)		unreviewed
W1F2H7	W1F2H7_ECOLX	Cell division topological specificity factor	minE	unreviewed
W1F2T9	W1F2T9_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
W1EZF5	W1EZF5_ECOLX	Betaine aldehyde dehydrogenase (EC 1.2.1.8)		unreviewed
W1EXH8	W1EXH8_ECOLX	Putative transcription factor		unreviewed
W1F4H5	W1F4H5_ECOLX	Molybdopterin-guanine dinucleotide biosynthesis protein MobB		unreviewed
W1F5H0	W1F5H0_ECOLX	Hydrogenase maturation protease (EC 3.4.24.-)		unreviewed
W1F626	W1F626_ECOLX	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)	bioA	unreviewed
W1F120	W1F120_ECOLX	Putative ATP-binding component of a transport system		unreviewed
W1EWN3	W1EWN3_ECOLX	Putrescine transporter PotE (Putrescine-proton symporter / putrescine-ornithine antiporter)	potE	unreviewed
W1EW17	W1EW17_ECOLX	Maltose/maltodextrin transport system permease protein		unreviewed
W1EX74	W1EX74_ECOLX	Mobile element protein		unreviewed
W1EU63	W1EU63_ECOLX	Lipid A biosynthesis (KDO) 2-(Lauroyl)-lipid IVA acyltransferase (EC 2.3.1.-)		unreviewed
W1F9Q5	W1F9Q5_ECOLX	1,4-alpha-glucan (Glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)		unreviewed
W1F5D9	W1F5D9_ECOLX	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)	hisD	unreviewed
W1EYG3	W1EYG3_ECOLX	Putative oxidoreductase, Fe-S subunit		unreviewed
W1F983	W1F983_ECOLX	Carbon starvation induced protein CsiD		unreviewed
W1EWX9	W1EWX9_ECOLX	Predicted FAD containing dehydrogenase		unreviewed
W1EYS1	W1EYS1_ECOLX	Malate synthase G (EC 2.3.3.9)		unreviewed
W1EWR3	W1EWR3_ECOLX	Cell division protein ZapA (Z ring-associated protein ZapA)	zapA	unreviewed
