Entry	Entry name	Protein names	Gene names  (primary )	Status
V0Z0Q0	V0Z0Q0_ECOLX	Multiple antibiotic resistance protein MarA		unreviewed
V0YWF7	V0YWF7_ECOLX	Macrolide export ATP-binding/permease protein MacB		unreviewed
V0ZXG7	V0ZXG7_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
V0ZBJ8	V0ZBJ8_ECOLX	Transporter, major facilitator family protein		unreviewed
V0YXV2	V0YXV2_ECOLX	Multidrug resistance protein MdtG	mdtG	unreviewed
V0Z1Z7	V0Z1Z7_ECOLX	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	unreviewed
V0YY05	V0YY05_ECOLX	Multidrug resistance protein MdtH	mdtH	unreviewed
V0YLR6	V0YLR6_ECOLX	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)		unreviewed
V0YWI7	V0YWI7_ECOLX	Chloramphenicol acetyltransferase (EC 2.3.1.28)		unreviewed
V0Z463	V0Z463_ECOLX	Putative multiple antibiotic resistance protein MarB		unreviewed
V0Z8U2	V0Z8U2_ECOLX	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	unreviewed
V0Z5H4	V0Z5H4_ECOLX	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	unreviewed
V0ZAS6	V0ZAS6_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
V0YD04	V0YD04_ECOLX	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	unreviewed
V0Z709	V0Z709_ECOLX	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95)		unreviewed
V0Z863	V0Z863_ECOLX	Transcriptional regulator, TetR family		unreviewed
V0Z9A2	V0Z9A2_ECOLX	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	unreviewed
V0Z4G1	V0Z4G1_ECOLX	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ	unreviewed
V0ZDH4	V0ZDH4_ECOLX	Multidrug resistance protein MdtL	mdtL	unreviewed
V0YWV0	V0YWV0_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
V0ZTS6	V0ZTS6_ECOLX	Multiple antibiotic resistance protein MarR		unreviewed
