Entry	Entry name	Protein names	Gene names  (primary )	Status
F4SSL9	F4SSL9_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
F4SLY8	F4SLY8_ECOLX	Macrolide export ATP-binding/permease protein MacB		unreviewed
F4SJ51	F4SJ51_ECOLX	Multiple antibiotic resistance protein MarA		unreviewed
F4SGI3	F4SGI3_ECOLX	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	unreviewed
F4SFY9	F4SFY9_ECOLX	Multidrug resistance protein MdtH	mdtH	unreviewed
F4SGI6	F4SGI6_ECOLX	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	unreviewed
F4SGI5	F4SGI5_ECOLX	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	unreviewed
F4SL48	F4SL48_ECOLX	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ	unreviewed
F4SQC6	F4SQC6_ECOLX	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)		unreviewed
F4SFX5	F4SFX5_ECOLX	Multidrug resistance protein MdtG	mdtG	unreviewed
F4SN58	F4SN58_ECOLX	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	unreviewed
F4SJ50	F4SJ50_ECOLX	Multiple antibiotic resistance protein MarR		unreviewed
F4SRB5	F4SRB5_ECOLX	Multidrug resistance protein MdtL	mdtL	unreviewed
F4SGI4	F4SGI4_ECOLX	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	unreviewed
