Entry	Entry name	Protein names	Gene names  (primary )	Status
A0A7L7XA95	A0A7L7XA95_ECOLX	Beta-lactamase (EC 3.5.2.6)	blaEC	unreviewed
A0A7L7X5G0	A0A7L7X5G0_ECOLX	Multidrug resistance protein MdtH	mdtH	unreviewed
A0A7L7X5S5	A0A7L7X5S5_ECOLX	Multiple antibiotic resistance protein MarB	marB	unreviewed
A0A7L7XDP6	A0A7L7XDP6_ECOLX	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	bacA	unreviewed
A0A7L7X727	A0A7L7X727_ECOLX	Multidrug resistance protein MdtL	mdtL	unreviewed
A0A7L7X7F1	A0A7L7X7F1_ECOLX	Multidrug resistance protein MdtG	mdtG	unreviewed
A0A7L7XGW0	A0A7L7XGW0_ECOLX	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	unreviewed
A0A7L7X8B3	A0A7L7X8B3_ECOLX	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ	unreviewed
A0A7L7X7V0	A0A7L7X7V0_ECOLX	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)	mrcA	unreviewed
A0A7L7X320	A0A7L7X320_ECOLX	Macrolide ABC transporter ATP-binding protein/permease MacB	macB	unreviewed
A0A7L7XC09	A0A7L7XC09_ECOLX	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	unreviewed
A0A7L7XBJ5	A0A7L7XBJ5_ECOLX	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	unreviewed
A0A7L7X1K8	A0A7L7X1K8_ECOLX	Multiple antibiotic resistance transcriptional regulator MarR	marR	unreviewed
A0A7L7XFK6	A0A7L7XFK6_ECOLX	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	unreviewed
