Entry	Entry name	Protein names	Gene names  (primary )	Status
B5XU34	UPPP_KLEP3	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	reviewed
A6TE36	UPPP_KLEP7	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	reviewed
C7C422	BLAN1_KLEPN	Metallo-beta-lactamase type 2 (EC 3.5.2.6) (B2 metallo-beta-lactamase) (Beta-lactamase type II) (Metallo-beta-lactamase NDM-1) (Metallo-beta-lactamase type II) (New Delhi metallo-beta-lactamase-1) (NDM-1)	blaNDM-1	reviewed
P0A3M1	BLA5_KLEPN	Beta-lactamase SHV-5 (EC 3.5.2.6)	bla	reviewed
Q9AHN9	BLA29_KLEPN	Beta-lactamase SHV-29 (EC 3.5.2.6)	bla	reviewed
P96348	BLA6_KLEPN	Beta-lactamase SHV-6 (EC 3.5.2.6) (Fragment)	bla	reviewed
P0A9Z8	BLA2_KLEPN	Beta-lactamase SHV-2 (EC 3.5.2.6) (SHV-2A)	bla	reviewed
Q9F663	BLKPC_KLEPN	Carbapenem-hydrolyzing beta-lactamase KPC (EC 3.5.2.6) (Carbapenem-hydrolyzing beta-lactamase KPC-1)	bla	reviewed
P29806	AADB2_KLEPN	2''-aminoglycoside nucleotidyltransferase (EC 2.7.7.46) (AAD(2'')) (Gentamicin 2''-nucleotidyltransferase) (Gentamicin resistance protein)	aadB	reviewed
P0A9Z9	BLA2_KLEPO	Beta-lactamase SHV-2 (EC 3.5.2.6) (SHV-2A)	bla	reviewed
P0AE05	AADB1_KLEPN	2''-aminoglycoside nucleotidyltransferase (EC 2.7.7.46) (AAD(2'')) (Aminoglycoside adenyltransferase 2''-Ia) (ANT(2'')-Ia) (Gentamicin 2''-nucleotidyltransferase) (Gentamicin resistance protein)	aadB	reviewed
B5XTK8	ARNC_KLEP3	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	reviewed
A6TF99	ARNC_KLEP7	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	reviewed
B5XTL0	ARND_KLEP3	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	reviewed
P30896	BLA3_KLEPN	Beta-lactamase SHV-3 (EC 3.5.2.6)	bla	reviewed
P13081	BLE_KLEPN	Bleomycin resistance protein (BRP) (CL990 resistance protein)	ble	reviewed
P0AD64	BLA1_KLEPN	Beta-lactamase SHV-1 (EC 3.5.2.6) (PIT-2)	bla	reviewed
P05192	BLAC_KLEPN	Beta-lactamase (EC 3.5.2.6) (Penicillinase)		reviewed
P19650	AAC6_KLEPN	Aminoglycoside N(6')-acetyltransferase type 1 (EC 2.3.1.82) (AAC(6')-I) (Aminoglycoside resistance protein)	aacA4	reviewed
Q9S424	BLA13_KLEPN	Beta-lactamase SHV-13 (EC 3.5.2.6)	bla	reviewed
P37323	BLA4_KLEPN	Beta-lactamase SHV-4 (EC 3.5.2.6) (Ceftazidimase 5) (CAZ-5)	bla	reviewed
A6TFA0	ARNB_KLEP7	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	reviewed
A6TF97	ARND_KLEP7	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	reviewed
B5XTK7	ARNB_KLEP3	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	reviewed
B5XTK9	ARNA_KLEP3	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	reviewed
A6TF98	ARNA_KLEP7	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	reviewed
P0A3M3	BLO9_KLEPN	Beta-lactamase OXA-9 (EC 3.5.2.6) (Oxacillinase) (Penicillinase)	bla	reviewed
