Entry	Entry name	Protein names	Gene names  (primary )	Status
P33941	YOJI_ECOLI	ABC transporter ATP-binding/permease protein YojI	yojI	reviewed
P0A8V2	RPOB_ECOLI	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB	reviewed
P0AG55	RL6_ECOLI	50S ribosomal protein L6 (Large ribosomal subunit protein uL6)	rplF	reviewed
B1XG62	UPPP_ECODH	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	reviewed
P0A8T7	RPOC_ECOLI	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC	reviewed
P0A9U3	YBIT_ECOLI	Probable ATP-binding protein YbiT	ybiT	reviewed
P33229	RALR_ECOLI	Endodeoxyribonuclease toxin RalR (DNase RalR) (EC 3.1.-.-) (Restriction alleviation and modification enhancement protein) (Toxin RalR)	ralR	reviewed
P00956	SYI_ECOLI	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS	reviewed
P25396	TEHA_ECOLI	Tellurite resistance protein TehA	tehA	reviewed
P02919	PBPB_ECOLI	Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase) (Peptidoglycan glycosyltransferase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	mrcB	reviewed
P36979	RLMN_ECOLI	Dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	rlmN	reviewed
P0AG63	RS17_ECOLI	30S ribosomal protein S17 (Small ribosomal subunit protein uS17)	rpsQ	reviewed
P43672	UUP_ECOLI	ATP-binding protein Uup (EC 3.6.1.-)	uup	reviewed
P60932	UPPP_ECOLI	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	reviewed
P60723	RL4_ECOLI	50S ribosomal protein L4 (Large ribosomal subunit protein uL4)	rplD	reviewed
P61175	RL22_ECOLI	50S ribosomal protein L22 (Large ribosomal subunit protein uL22)	rplV	reviewed
P0A7W1	RS5_ECOLI	30S ribosomal protein S5 (Small ribosomal subunit protein uS5)	rpsE	reviewed
P06627	TRAY1_ECOLI	Relaxosome protein TraY	traY	reviewed
P75806	YBJG_ECOLI	Putative undecaprenyl-diphosphatase YbjG (EC 3.6.1.27) (Undecaprenyl pyrophosphate phosphatase)	ybjG	reviewed
P31126	YDEE_ECOLI	Uncharacterized MFS-type transporter YdeE	ydeE	reviewed
P31130	YDEI_ECOLI	Uncharacterized protein YdeI	ydeI	reviewed
P31131	YDEJ_ECOLI	Protein YdeJ	ydeJ	reviewed
P63389	YHES_ECOLI	Probable ATP-binding protein YheS	yheS	reviewed
P10026	TRAM1_ECOLI	Relaxosome protein TraM	traM	reviewed
C4ZQX4	UPPP_ECOBW	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	reviewed
B1X8W8	ARNA_ECODH	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	reviewed
B1X8W6	ARNB_ECODH	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	reviewed
P02918	PBPA_ECOLI	Penicillin-binding protein 1A (PBP-1a) (PBP1a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	mrcA	reviewed
C4ZU95	ARNB_ECOBW	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	reviewed
P0AAW9	ACRZ_ECOLI	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ	reviewed
P76472	ARND_ECOLI	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	reviewed
P46891	COF_ECOLI	HMP-PP phosphatase (EC 3.6.1.-)	cof	reviewed
P0CE47	EFTU1_ECOLI	Elongation factor Tu 1 (EF-Tu 1) (Bacteriophage Q beta RNA-directed RNA polymerase subunit III) (P-43)	tufA	reviewed
